seed,best_epoch,validation_macro_f1,test_accuracy,test_macro_f1,median_inference_ms,p95_inference_ms
7,20,0.8602295007717078,0.85,0.8504643166386774,9.72825,14.541894999999993
17,25,0.8546611954944596,0.8566666666666667,0.8563277949939752,9.7943,14.547374999999995
27,22,0.8523151497404804,0.8583333333333333,0.8583683214218244,9.77545,14.473004999999999
mean,,0.8557352820022159,0.855,0.8550534776848256,9.766,14.520758333333328
standard_deviation,,0.003319084656044057,0.0036004114991154755,0.0033502473895023776,0.027780418763342626,0.03384073712094267
